id,label,house
Addam-Marbrand,Addam Marbrand,Misc
Aegon-I-Targaryen,Aegon I Targaryen,Targaryen
Aemon-Targaryen-(Maester-Aemon),Aemon Targaryen (Maester Aemon),Targaryen
Aerys-II-Targaryen,Aerys II Targaryen,Targaryen
Aggo,Aggo,Misc
Albett,Albett,Misc
Alliser-Thorne,Alliser Thorne,Misc
Alyn,Alyn,Misc
Arthur-Dayne,Arthur Dayne,Misc
Arya-Stark,Arya Stark,Stark
Arys-Oakheart,Arys Oakheart,Misc
Balon-Greyjoy,Balon Greyjoy,Greyjoy
Balon-Swann,Balon Swann,Misc
Barristan-Selmy,Barristan Selmy,Misc
Benjen-Stark,Benjen Stark,Stark
Beric-Dondarrion,Beric Dondarrion,Misc
Boros-Blount,Boros Blount,Misc
Bowen-Marsh,Bowen Marsh,Misc
Bran-Stark,Bran Stark,Stark
Brandon-Stark,Brandon Stark,Stark
Bronn,Bronn,Misc
Brynden-Tully,Brynden Tully,Misc
Catelyn-Stark,Catelyn Stark,Stark
Cayn,Cayn,Misc
Cersei-Lannister,Cersei Lannister,Lannister
Chella,Chella,Misc
Chett,Chett,Misc
Chiggen,Chiggen,Misc
Clement-Piper,Clement Piper,Misc
Clydas,Clydas,Misc
Cohollo,Cohollo,Misc
Colemon,Colemon,Misc
Conn,Conn,Misc
Coratt,Coratt,Misc
Daenerys-Targaryen,Daenerys Targaryen,Targaryen
Danwell-Frey,Danwell Frey,Misc
Dareon,Dareon,Misc
Daryn-Hornwood,Daryn Hornwood,Misc
Desmond,Desmond,Misc
Dolf,Dolf,Misc
Donal-Noye,Donal Noye,Misc
Donnel-Waynwood,Donnel Waynwood,Misc
Doreah,Doreah,Misc
Drogo,Drogo,Misc
Dywen,Dywen,Misc
Eddard-Stark,Eddard Stark,Stark
Edmure-Tully,Edmure Tully,Tully
Eon-Hunter,Eon Hunter,Misc
Eroeh,Eroeh,Misc
Fogo,Fogo,Misc
Galbart-Glover,Galbart Glover,Misc
Gared,Gared,Misc
Gendry,Gendry,Misc
Gerold-Hightower,Gerold Hightower,Misc
Gregor-Clegane,Gregor Clegane,Misc
Grenn,Grenn,Misc
Gunthor-son-of-Gurn,Gunthor son of Gurn,Misc
Haggo,Haggo,Misc
Halder,Halder,Misc
Hali,Hali,Misc
Hallis-Mollen,Hallis Mollen,Misc
Harwin,Harwin,Misc
Harys-Swyft,Harys Swyft,Misc
Heward,Heward,Misc
High-Septon-(fat_one),High Septon (fat one),Misc
Hobb,Hobb,Misc
Hodor,Hodor,Misc
Hosteen-Frey,Hosteen Frey,Misc
Hoster-Tully,Hoster Tully,Tully
Howland-Reed,Howland Reed,Misc
Hugh,Hugh,Misc
Hullen,Hullen,Misc
Illyrio-Mopatis,Illyrio Mopatis,Misc
Ilyn-Payne,Ilyn Payne,Misc
Irri,Irri,Misc
Jacks,Jacks,Misc
Jafer-Flowers,Jafer Flowers,Misc
Jaime-Lannister,Jaime Lannister,Lannister
Janos-Slynt,Janos Slynt,Misc
Jared-Frey,Jared Frey,Misc
Jaremy-Rykker,Jaremy Rykker,Misc
Jeor-Mormont,Jeor Mormont,Misc
Jeyne-Poole,Jeyne Poole,Misc
Jhiqui,Jhiqui,Misc
Jhogo,Jhogo,Misc
Joffrey-Baratheon,Joffrey Baratheon,Baratheon
Jommo,Jommo,Misc
Jon-Arryn,Jon Arryn,Arryn
Jon-Snow,Jon Snow,Stark
Jon-Umber-(Greatjon),Jon Umber (Greatjon),Misc
Jonos-Bracken,Jonos Bracken,Misc
Jorah-Mormont,Jorah Mormont,Misc
Jory-Cassel,Jory Cassel,Misc
Joseth,Joseth,Misc
Joss,Joss,Misc
Jyck,Jyck,Misc
Karyl-Vance,Karyl Vance,Misc
Kevan-Lannister,Kevan Lannister,Lannister
Kurleket,Kurleket,Misc
Lancel-Lannister,Lancel Lannister,Lannister
Leo-Lefford,Leo Lefford,Misc
Loras-Tyrell,Loras Tyrell,Tyrell
Luwin,Luwin,Misc
Lyanna-Stark,Lyanna Stark,Stark
Lyn-Corbray,Lyn Corbray,Misc
Lysa-Arryn,Lysa Arryn,Arryn
Mace-Tyrell,Mace Tyrell,Tyrell
Maege-Mormont,Maege Mormont,Misc
Maegor-I-Targaryen,Maegor I Targaryen,Targaryen
Mance-Rayder,Mance Rayder,Misc
Marillion,Marillion,Misc
Marq-Piper,Marq Piper,Misc
Masha-Heddle,Masha Heddle,Misc
Matthar,Matthar,Misc
Meryn-Trant,Meryn Trant,Misc
Mirri-Maz-Duur,Mirri Maz Duur,Misc
Mord,Mord,Misc
Mordane,Mordane,Misc
Moreo-Tumitis,Moreo Tumitis,Misc
Morrec,Morrec,Misc
Mya-Stone,Mya Stone,Misc
Mycah,Mycah,Misc
Mychel-Redfort,Mychel Redfort,Misc
Myrcella-Baratheon,Myrcella Baratheon,Baratheon
Nan,Nan,Misc
Nestor-Royce,Nestor Royce,Misc
Ogo,Ogo,Misc
Osha,Osha,Misc
Oswell-Whent,Oswell Whent,Misc
Othor,Othor,Misc
Paxter-Redwyne,Paxter Redwyne,Misc
Petyr-Baelish,Petyr Baelish,Misc
Porther,Porther,Misc
Pycelle,Pycelle,Misc
Pypar,Pypar,Misc
Qotho,Qotho,Misc
Quaro,Quaro,Misc
Rakharo,Rakharo,Misc
Randyll-Tarly,Randyll Tarly,Misc
Rast,Rast,Misc
Raymun-Darry,Raymun Darry,Misc
Renly-Baratheon,Renly Baratheon,Baratheon
Rhaegar-Targaryen,Rhaegar Targaryen,Targaryen
Rhaego,Rhaego,Misc
Rickard-Karstark,Rickard Karstark,Misc
Rickard-Stark,Rickard Stark,Stark
Rickon-Stark,Rickon Stark,Stark
Robb-Stark,Robb Stark,Stark
Robert-Arryn,Robert Arryn,Arryn
Robert-Baratheon,Robert Baratheon,Baratheon
Rodrik-Cassel,Rodrik Cassel,Misc
Roose-Bolton,Roose Bolton,Misc
Samwell-Tarly,Samwell Tarly,Misc
Sandor-Clegane,Sandor Clegane,Misc
Sansa-Stark,Sansa Stark,Stark
Shae,Shae,Misc
Shagga,Shagga,Misc
Stannis-Baratheon,Stannis Baratheon,Baratheon
Stevron-Frey,Stevron Frey,Misc
Stiv,Stiv,Misc
Syrio-Forel,Syrio Forel,Misc
Theon-Greyjoy,Theon Greyjoy,Greyjoy
Thoros-of-Myr,Thoros of Myr,Misc
Timett,Timett,Misc
Tobho-Mott,Tobho Mott,Misc
Todder,Todder,Misc
Tomard,Tomard,Misc
Tommen-Baratheon,Tommen Baratheon,Baratheon
Torrhen-Karstark,Torrhen Karstark,Misc
Tregar,Tregar,Misc
Tyrion-Lannister,Tyrion Lannister,Lannister
Tytos-Blackwood,Tytos Blackwood,Misc
Tywin-Lannister,Tywin Lannister,Lannister
Ulf-son-of-Umar,Ulf son of Umar,Misc
Vardis-Egen,Vardis Egen,Misc
Varly,Varly,Misc
Varys,Varys,Misc
Vayon-Poole,Vayon Poole,Misc
Viserys-Targaryen,Viserys Targaryen,Targaryen
Walder-Frey,Walder Frey,Misc
Waymar-Royce,Waymar Royce,Misc
Wendel-Manderly,Wendel Manderly,Misc
Will-(prologue),Will (prologue),Misc
Willis-Wode,Willis Wode,Misc
Wyl-(guard),Wyl (guard),Misc
Wylla,Wylla,Misc
Yoren,Yoren,Misc
